1 100
5000
100 10
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 0
200 1 0
200 1 1
200 1 1
200 1 0
300 13 12 23
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 0
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 2
200 1 2
300 16 6 6
200 1 2
200 1 1
200 1 1
200 1 1
300 16 3 1
200 1 1
300 16 0 7
200 0 1
200 0 1
200 1 2
200 0 0
200 1 1
200 0 2
200 0 1
200 0 1
200 1 0
200 1 1
300 16 4 6
200 1 1
200 1 1
200 1 1
200 1 1
300 16 0 6
200 0 0
300 13 15 1
200 0 1
300 16 5 1
200 0 1
300 15 0 1
200 1 1
300 16 2 1
200 1 1
300 13 14 1
200 1 1
300 14 6 1
200 0 1
300 13 10 1
200 1 1
300 13 15 1
200 1 1
300 13 14 1
200 0 1
300 16 1 1
200 1 1
300 16 5 1
200 0 1
300 16 5 1
200 1 1
300 13 7 1
200 0 1
300 13 12 1
200 1 1
300 14 6 1
200 1 1
300 16 3 1
200 1 1
300 16 0 1
200 1 1
300 13 9 13
200 0 1
200 1 1
200 1 1
200 0 1
200 0 1
200 1 1
200 1 1
200 1 1
200 0 1
200 1 1
200 0 1
200 1 1
200 1 1
200 1 1
300 13 3 3
200 1 1
200 1 0
200 1 1
200 1 2
200 1 1
300 13 5 7
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
300 18 1 0
300 13 10 10
200 1 1
200 1 1
200 1 1
200 1 0
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
300 13 10 11
200 1 2
300 13 13 4
200 1 1
200 1 1
200 1 1
200 1 0
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 2
200 1 1
200 1 1
200 1 2
200 1 1
200 1 2
200 1 1
200 1 1
300 18 9 1
200 1 1
300 18 9 1
200 1 1
300 14 10 14
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
300 15 0 6
300 18 10 3
200 0 1
200 1 1
200 1 1
200 1 1
300 15 10 6
200 1 1
200 0 1
200 0 1
200 0 0
200 1 0
200 0 1
200 0 1
200 1 1
200 1 1
200 1 1
200 1 2
200 0 1
200 1 1
200 1 1
200 1 1
200 1 1
300 13 10 12
200 1 2
200 0 1
200 1 2
200 0 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 2
200 0 1
200 0 1
200 0 1
200 0 1
200 0 1
200 0 1
200 0 1
200 0 1
200 0 1
200 0 2
200 0 1
200 0 2
200 0 1
200 0 1
200 0 1
200 0 1
200 0 1
200 0 1
200 0 1
200 0 2
200 0 1
300 12 14 2
200 1 1
200 1 1
300 18 15 12
200 0 0
200 0 1
200 0 1
200 0 1
200 0 0
200 0 1
200 0 1
200 0 1
200 0 1
200 0 1
200 0 0
200 0 1
200 0 1
200 0 1
300 18 15 14
200 0 0
200 0 1
200 0 1
200 0 1
200 0 1
300 18 7 13
200 0 1
200 0 1
200 0 1
200 0 1
200 0 1
200 0 1
200 0 2
200 0 1
200 0 1
300 20 13 1
200 0 2
200 0 1
200 0 1
200 0 1
200 0 1
200 0 1
200 0 1
200 0 1
200 0 1
200 0 1
200 0 0
300 12 10 6
200 1 1
200 1 1
300 18 12 14
300 18 7 5
300 18 3 4
300 11 10 1
200 1 0
200 1 1
200 1 1
200 1 1
200 0 2
200 1 1
200 0 2
200 0 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 0 0
200 0 1
300 13 12 14
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
300 13 12 12
200 1 1
200 1 1
200 1 0
200 1 1
200 1 1
200 1 2
200 1 1
200 1 1
200 1 2
200 1 1
200 1 1
200 1 1
200 1 0
200 1 1
200 1 2
200 1 2
200 1 1
200 1 2
300 19 3 4
300 11 7 1
200 0 1
200 1 1
200 1 1
200 0 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 0
300 11 14 2
200 1 1
200 1 2
200 1 1
300 13 12 27
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
300 13 6 3
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
300 13 6 6
200 1 1
200 1 1
200 1 1
200 1 1
200 1 2
200 1 2
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 0
200 1 1
300 12 6 7
200 1 1
200 1 0
200 1 1
300 13 3 9
200 1 1
200 1 1
200 1 1
300 13 14 14
200 1 1
200 1 1
200 1 1
200 1 0
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
300 18 0 6
300 17 11 4
200 0 1
200 0 1
200 0 1
200 1 2
200 1 1
200 1 0
200 1 1
200 1 1
200 1 1
300 17 9 4
200 1 1
200 1 1
200 1 1
200 1 0
200 1 1
200 1 1
200 1 1
300 19 0 2
300 14 11 12
200 0 1
200 0 2
200 1 1
200 1 0
200 1 0
200 1 0
300 13 14 8
200 1 1
200 1 0
200 1 1
200 1 0
200 1 0
200 1 1
300 13 14 6
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
300 14 0 7
200 0 1
200 0 2
300 5 13 0
300 13 6 6
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
300 13 13 13
200 1 2
200 1 0
200 1 2
200 1 2
200 1 1
200 1 1
200 1 1
300 13 16 10
200 1 1
200 1 1
200 1 1
200 1 0
200 1 2
200 1 1
200 1 1
200 1 1
200 1 0
200 1 1
200 1 1
200 1 1
300 14 0 2
300 11 0 3
300 20 19 2
200 0 0
200 1 0
200 0 1
200 1 1
200 0 1
200 1 1
200 0 1
200 0 1
200 0 1
200 0 2
200 1 1
200 1 0
200 0 1
200 1 0
200 0 1
200 1 1
200 0 1
200 0 1
200 1 1
200 0 1
200 1 1
200 0 1
200 0 1
200 0 1
200 0 1
300 15 6 6
200 0 1
200 0 1
200 0 1
200 0 1
200 0 1
200 0 2
200 0 1
200 0 1
200 0 1
200 0 1
200 0 1
200 0 1
300 18 18 2
200 1 1
200 1 1
300 11 4 18
200 0 0
300 19 18 1
200 1 1
300 20 18 10
300 15 16 7
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
300 13 16 8
200 1 1
200 1 1
200 1 1
200 1 0
200 1 1
200 1 0
200 1 0
200 1 1
300 15 17 1
200 1 1
300 11 4 1
200 0 1
200 0 1
200 0 2
200 0 1
200 0 1
200 0 1
200 0 1
200 0 1
200 0 1
200 0 0
200 0 1
200 0 1
200 0 1
200 0 1
200 0 1
200 0 1
200 0 1
200 0 1
200 0 1
200 0 0
200 0 1
300 17 16 1
200 0 0
200 0 1
200 0 1
200 0 1
200 0 0
300 17 15 4
200 0 1
200 0 2
200 0 0
200 0 1
200 0 1
200 0 0
200 0 0
200 0 1
200 0 1
300 16 6 23
200 0 1
200 0 1
200 0 1
200 0 1
200 0 1
300 15 17 1
200 1 1
300 13 6 8
200 0 1
200 0 1
200 0 1
200 0 2
200 0 1
200 0 1
200 0 1
200 0 1
200 0 1
200 0 1
300 15 6 8
200 0 1
200 0 1
200 0 2
200 0 1
200 0 1
300 11 5 10
200 0 1
200 0 1
200 0 0
300 16 16 5
200 1 1
200 1 0
200 1 2
200 1 1
200 1 1
200 1 1
300 11 0 8
300 11 16 11
200 1 1
200 0 1
200 1 1
200 1 1
200 1 1
200 0 2
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
300 18 16 3
200 1 1
200 1 1
200 1 1
300 17 4 0
300 11 16 10
200 1 1
200 1 2
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 0
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 0
200 1 1
200 1 1
300 14 7 8
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
300 12 8 10
200 1 1
200 1 2
200 1 1
300 12 10 5
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 0
200 1 1
200 1 1
200 1 1
200 1 2
200 1 1
300 12 3 8
200 1 1
200 1 1
200 1 1
300 12 15 15
200 1 1
200 1 1
200 1 1
200 1 1
200 1 0
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 0
200 1 2
300 12 14 13
200 1 1
200 1 1
200 1 0
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
300 11 0 2
300 11 8 0
300 10 0 1
300 18 12 3
200 1 1
200 0 1
200 1 0
200 1 1
200 1 0
300 18 12 4
200 1 1
200 1 1
200 1 0
200 1 0
200 1 1
200 1 1
200 1 1
200 1 2
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 2
200 1 1
200 1 1
200 1 1
200 1 1
300 20 13 16
200 1 1
200 1 0
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 2
200 1 2
200 1 1
200 1 2
300 15 14 6
200 1 1
200 1 1
200 1 1
300 15 14 3
200 1 1
200 1 1
200 1 1
300 19 14 7
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
300 13 12 17
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
300 12 16 13
200 1 1
200 1 1
200 1 1
200 1 1
200 1 2
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 2
200 1 0
200 1 1
200 1 1
200 1 2
200 1 1
200 1 1
200 1 2
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
300 12 10 6
200 1 1
200 1 1
200 1 1
200 1 0
200 1 1
300 16 13 20
200 1 1
200 1 0
200 1 1
200 1 1
200 1 0
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
300 12 16 18
200 1 1
200 1 0
200 1 1
200 1 1
300 10 14 8
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
300 10 17 4
200 1 1
200 1 1
200 1 1
300 10 19 1
200 1 1
200 1 1
300 10 17 4
200 1 1
200 1 1
200 1 0
200 1 1
200 1 1
200 1 1
200 1 0
200 1 1
200 1 1
200 1 2
200 1 1
200 1 1
200 1 2
200 1 1
200 1 1
200 1 1
200 1 1
300 5 16 7
200 1 2
200 1 1
200 1 1
200 1 1
200 1 1
300 5 17 4
200 1 0
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
300 9 19 14
200 1 1
200 1 1
200 1 0
200 1 1
200 1 1
200 1 1
200 1 2
200 1 1
200 1 0
300 5 15 1
200 1 0
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 2
200 1 1
200 1 1
200 1 1
200 1 2
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
300 5 9 16
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 0
200 1 0
200 1 1
200 1 1
200 1 2
200 1 1
200 1 1
200 1 1
300 6 7 4
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
300 5 14 22
200 1 1
200 1 1
200 1 1
200 1 1
200 1 0
200 1 1
200 1 1
200 1 1
200 1 2
200 1 1
200 1 2
200 1 2
200 1 2
300 5 15 14
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
300 7 15 8
200 1 1
200 1 2
200 1 2
200 1 1
200 1 1
200 1 0
200 1 2
200 1 1
200 1 1
200 1 1
300 5 20 1
200 1 1
300 9 19 16
200 1 1
200 1 1
200 1 2
200 1 1
300 10 19 5
200 1 1
200 1 2
200 1 1
200 1 1
200 1 0
300 10 1 2
300 6 9 0
300 13 20 1
200 0 1
200 1 1
200 0 1
200 1 0
300 11 20 4
200 1 1
200 1 0
300 10 1 2
300 10 20 3
200 1 1
300 20 2 0
300 10 15 6
200 0 1
200 1 2
200 1 1
200 1 1
200 0 1
200 1 1
200 1 1
200 1 0
200 1 2
200 1 1
200 1 2
200 1 1
200 1 1
200 1 0
200 1 1
200 1 2
200 1 1
200 1 1
200 1 2
200 1 1
200 1 1
200 1 1
200 1 0
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 2
200 1 2
200 1 0
200 1 1
200 1 1
200 1 2
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 2
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
300 15 9 26
200 1 0
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
300 16 10 8
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
300 15 16 19
200 1 1
200 1 1
200 1 1
200 1 2
200 1 1
200 1 1
200 1 2
200 1 1
200 1 1
200 1 1
200 1 1
200 1 0
200 1 1
200 1 1
300 15 16 14
200 1 1
200 1 2
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
300 11 15 12
200 1 1
200 1 1
200 1 1
200 1 1
200 1 2
200 1 1
200 1 1
200 1 1
300 10 1 2
200 1 1
200 0 1
200 0 1
200 1 1
200 1 1
200 1 1
200 1 2
200 1 1
200 1 0
200 1 0
200 1 1
200 1 1
200 1 1
200 1 1
200 1 0
200 1 1
200 1 1
200 1 2
200 1 1
200 1 1
300 14 7 13
200 1 1
200 1 1
200 1 1
200 1 1
300 15 15 13
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
300 14 15 6
200 1 1
200 1 0
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
300 10 1 2
300 15 18 3
200 0 1
200 1 1
200 1 2
200 0 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 0
200 1 1
300 15 19 7
200 1 1
200 1 2
200 1 1
200 1 1
200 1 2
200 1 1
200 1 1
200 1 1
200 1 1
200 1 2
200 1 1
200 1 1
300 17 15 2
200 1 2
200 1 2
300 17 15 2
200 1 1
200 1 2
200 1 1
200 1 1
200 1 1
200 1 1
300 18 20 12
200 1 1
200 1 1
200 1 1
300 20 20 1
200 1 1
300 14 15 12
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
300 17 15 4
200 1 1
200 1 1
200 1 1
300 14 15 6
200 1 2
200 1 1
200 1 1
200 1 1
200 1 1
200 1 2
200 1 1
200 1 0
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 0
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
300 14 11 22
200 1 2
200 1 2
200 1 1
200 1 0
200 1 1
200 1 2
200 1 2
200 1 1
200 1 0
300 14 13 11
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 0
200 1 0
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 0
300 14 13 16
200 1 1
200 1 0
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
300 14 12 7
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 0
200 1 1
200 1 2
200 1 1
200 1 1
200 1 1
200 1 1
300 14 4 7
200 1 1
200 1 1
200 1 1
200 1 0
200 1 2
200 1 1
300 14 9 11
200 1 1
200 1 1
200 1 0
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
300 14 14 14
200 1 0
200 1 2
200 1 1
200 1 1
200 1 2
200 1 1
200 1 1
200 1 1
300 10 0 1
300 14 14 8
200 0 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 2
200 1 1
200 1 1
200 1 0
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
300 13 9 12
200 1 1
200 1 1
200 1 1
300 10 1 2
200 0 1
200 0 1
300 10 1 2
200 0 1
200 0 1
300 10 0 1
200 0 1
300 12 9 2
200 1 0
200 1 1
200 1 0
200 1 2
200 1 1
200 1 1
200 1 0
200 1 1
200 1 1
200 1 1
200 1 2
200 1 1
200 1 0
200 1 1
200 1 1
200 1 1
300 18 2 3
200 1 1
200 1 1
300 14 10 18
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 0
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 0
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 0
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
300 17 3 15
200 1 1
200 1 1
200 1 0
200 1 1
200 1 1
200 1 0
200 1 1
200 1 0
200 1 1
200 1 2
200 1 1
200 1 2
200 1 1
200 1 1
200 1 1
200 1 0
300 15 4 5
200 1 2
200 1 1
200 1 1
200 1 1
200 1 1
200 1 2
200 1 1
200 1 1
200 1 0
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 2
200 1 1
200 1 1
300 19 15 2
200 1 1
200 1 1
300 18 9 9
200 1 1
200 1 1
200 1 0
200 1 1
200 1 1
200 1 1
200 1 1
200 1 0
200 1 1
200 1 1
200 1 2
200 1 1
200 1 1
200 1 1
200 1 2
200 1 1
200 1 1
200 1 1
300 17 16 6
200 1 2
200 1 1
200 1 1
200 1 1
300 17 9 17
200 1 1
200 1 1
200 1 1
200 1 1
300 17 4 13
200 1 1
300 10 0 1
200 0 1
300 18 6 4
200 1 0
200 1 1
200 1 2
200 1 1
200 1 1
200 1 1
300 19 5 8
200 1 2
200 1 1
300 14 9 15
200 1 1
200 1 1
200 1 2
200 1 1
200 1 1
200 1 1
300 10 0 1
200 0 1
300 14 15 12
200 1 0
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
300 14 15 6
200 1 1
200 1 1
200 1 1
200 1 0
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
300 17 19 2
200 1 1
200 1 1
300 17 18 3
200 1 1
200 1 1
200 1 1
300 17 18 3
200 1 0
200 1 1
200 1 0
200 1 2
200 1 1
200 1 1
200 1 0
200 1 1
300 16 15 12
200 1 0
200 1 1
200 1 1
200 1 0
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 0
200 1 0
200 1 1
200 1 2
200 1 1
300 16 17 12
200 1 1
200 1 0
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 0
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 2
200 1 1
200 1 2
200 1 1
200 1 1
200 1 0
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
300 3 11 4
200 1 1
200 1 1
200 1 1
200 1 1
300 9 12 17
200 1 0
300 12 18 10
200 1 1
200 1 1
200 1 0
200 1 1
200 1 2
200 1 0
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 2
200 1 1
200 1 1
200 1 0
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
300 6 7 8
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 2
300 6 7 7
200 1 2
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 0
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
300 9 11 20
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
300 9 1 2
200 1 0
300 14 18 23
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 2
200 1 1
200 1 1
300 14 6 0
300 14 15 15
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
300 15 15 6
200 1 1
200 1 1
200 1 1
200 1 1
200 1 0
200 1 1
200 1 1
200 1 1
200 1 1
200 1 0
200 1 1
200 1 0
200 1 1
200 1 0
200 1 1
300 19 17 9
200 1 1
200 1 1
200 1 1
200 1 1
300 19 17 4
200 1 1
300 19 16 2
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
300 19 20 1
200 1 1
300 16 15 9
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
300 10 1 2
300 16 15 5
200 1 2
200 0 0
200 1 1
200 1 2
200 1 1
200 0 2
200 1 1
200 1 1
200 1 2
200 0 2
200 1 1
200 0 1
200 0 1
200 0 0
300 8 0 1
200 0 1
200 0 1
200 0 1
200 0 1
200 0 1
200 0 1
200 0 1
200 0 1
200 0 2
200 0 1
200 0 1
200 0 2
200 0 1
200 0 1
200 0 0
200 0 1
200 0 0
200 0 1
200 0 0
200 0 1
300 4 0 16
200 0 1
200 0 1
200 0 1
200 0 1
200 0 1
300 7 0 8
200 0 1
200 0 0
300 8 0 3
200 0 2
200 0 2
200 0 1
300 14 13 4
200 1 0
200 1 1
200 1 1
200 1 2
200 1 1
200 1 2
200 1 1
200 1 1
200 1 1
200 1 2
200 1 2
200 1 1
200 1 1
200 1 0
300 12 13 6
300 8 1 2
200 0 1
200 0 1
200 0 1
200 1 1
200 0 1
200 0 1
200 1 1
200 0 1
200 0 1
200 0 1
200 0 1
200 0 1
200 0 1
200 0 1
200 0 0
200 0 1
200 0 2
200 0 0
200 0 2
200 0 1
200 0 1
200 0 1
200 0 1
200 0 1
200 0 1
300 14 10 7
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
300 8 11 13
300 14 5 6
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 0 1
200 0 1
200 0 1
200 0 1
200 1 1
300 14 0 1
200 1 1
300 8 9 6
300 14 2 3
200 0 0
200 1 2
200 1 1
200 0 1
200 1 1
200 1 1
200 0 1
200 0 1
200 0 1
200 0 0
200 0 1
200 0 0
200 0 1
200 0 1
200 0 1
200 0 1
300 3 9 7
200 0 1
200 0 1
200 0 1
200 0 1
300 14 3 5
200 1 1
200 1 1
200 1 1
200 1 1
300 0 9 1
300 8 7 10
300 14 3 4
200 1 1
200 0 1
200 1 1
200 1 1
200 1 2
200 1 1
200 1 1
200 0 1
200 0 1
200 0 1
200 0 1
200 0 1
200 0 2
200 0 1
300 11 6 0
300 14 0 3
200 1 1
300 14 11 12
200 1 1
200 1 1
200 1 1
200 1 1
200 1 0
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
300 0 5 0
300 14 7 7
200 1 1
200 1 1
200 1 1
200 1 2
200 1 1
200 1 1
200 1 1
300 13 4 3
200 1 0
200 1 1
200 1 1
200 1 1
200 1 1
